Title,Views,Upload Time,Duration,Thumbnails
Amazon Affiliate Marketing for Beginners - A Step by Step Guide,25K views,25K views,5:18,
Heart is Gone | ہم دل دے بیٹھے | हम मन लगाकर बैठे,17K views,17K views,6:35,
Learn for Free | مفت میں سیکھیں | मुफ्त में सीखें,42K views,42K views,6:04,
Virtual Sales Agent | کمیشن پر بزنس حاصل کریں | कमीशन पर व्यवसाय कमाएँ,25K views,25K views,8:17,
"Play Games, Earn Money | گیم کھیلیں، پیسہ کمائیں  |  गेम खेलो, पैसा कमाओ",55K views,55K views,1:52,
"Sell Internet, Earn Money | انٹرنیٹ بیچیں، پیسہ کمائیں | इंटरनेट बेचो, पैसा कमाओ",206K views,206K views,3:53,
"Experts Networks Master Class | تجربہ بتائیں، پیسہ کمائیں  | अनुभव साझा करें, पैसा कमाएं",45K views,45K views,12:43,
This will happen when Pakistan Defaults | اگر پاکستان ڈیفالٹ ہوگیا تو یہ ہوگا,236K views,236K views,7:46,
Ramboda Falls | رامبودہ فالز,3.7K views,3.7K views,5:25,
What Happened in Sri Lanka? | سری لنکا میں کیا ہوا؟ | श्रीलंका में क्या हुआ?,15K views,15K views,9:00,
Tooth Temple | بدھا کا دانت,3.8K views,3.8K views,6:08,
Kandy Lake | کینڈی لیک,4K views,4K views,4:23,
When a Country Defaults | ملک ڈیفالٹ ہوجاۓ تو کیا ہوتا ہے؟ | जब कोई देश डिफॉल्ट करता है,112K views,112K views,11:05,https://i.ytimg.com/vi/3bswnq8vmf0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdTBO97WPwU0MkLcPa4X-1U7EIsw
Hatch | سری لنکا سٹارٹ اپ سینٹر | श्री लंका स्टार्टअप केंद्र,8.5K views,8.5K views,2:06,https://i.ytimg.com/vi/NoV9RpdYUoY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0g4cDHqL1NK4z1wW0J9XRnLFnJg
Botanical Garden | پھول نگر  | फूल नगर,7.3K views,7.3K views,11:15,https://i.ytimg.com/vi/zRB666vwegQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCbASj5GPaI1-akHbjpLFJwJUMGQ
Elephants' Orphanage | ہاتھیوں کا یتیم خانہ  | हाथियों का अनाथालय,6.5K views,6.5K views,5:08,https://i.ytimg.com/vi/bmlz53vRcXg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNTuEfr99ksH43VzoWeSizBZpXLw
"Make Money, Sale Software | سافٹ ویئر بیچیں، پیسہ کمائیں | सॉफ्टवेयर बेचो, पैसे कमाओ",35K views,35K views,3:40,https://i.ytimg.com/vi/bzGbLdtaJ0k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1oi7wO_5v9ZAH8zil-LBvEdPSxQ
"Make Money from Audio Books | آڈیو کتابیں بنائیں، پیسہ کمائیں | ऑडियो बुक्स बनाएं, पैसा कमाएं",51K views,51K views,3:31,https://i.ytimg.com/vi/bHZjRyzBjRc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxk8Wke0DxF7F6yU_ROGgvdyqb4A
How to Bring Dollars | ڈالرز کیسے لائیں | डॉलर कैसे लाए,126K views,126K views,10:18,
Small Prayers | چھوٹی موٹی دعائیں | छोटी-छोटी प्रार्थनाएँ,13K views,13K views,6:08,
Your Exit is Here | آپکا ایگزٹ لگ گیا | आपका एग्जिट लग गया,33K views,33K views,7:25,
Power Shutdown in Pakistan | بجلی نہیں تو کیا؟ | क्या होगा अगर बिजली नहीं है?,16K views,16K views,2:45,
ChatGPT and Islam | اے آئ مفتی | ऑनलाइन मुफ्ती,32K views,32K views,8:32,
Learn Quran Online | آن لائن قرآن پڑھیں | कुरान ऑनलाइन सीखें | Qario.io,14K views,14K views,6:05,
Zeeshan Usmani App | ذیشان عثمانی ایپ | जीशान उस्मानी ऐप,11K views,11K views,2:51,
Three Benefits of Worship | عبادت کے تین فائدے | उपासना के तीन लाभ,14K views,14K views,5:09,
Common Men Survival | عام آدمی کیا کرے؟ | एक आम आदमी को क्या करना चाहिए?,76K views,76K views,11:34,
Silence is a Skill | خاموشی سے مدد لیں  | चुपचाप सहायता प्राप्त करें,401K views,401K views,5:13,
Memorize Your Parents | ماں باپ حفظ کرلیں  | माता-पिता को याद करें,42K views,42K views,9:18,
Get Stake - موبائل سے پیسہ کمائیں  | Earn from Mobile | मोबाइल से पैसे कमाए,53K views,53K views,7:17,
How to Get out of the Past | ماضی سے باہر کیسے نکلیں  | अतीत से बाहर निकलो,39K views,39K views,5:27,
Beware of Wise People | عقلمندوں سے ہوشیار | ज्ञानियों से सावधान रहें,30K views,30K views,4:00,
Don't Indulge in Apathy | بے حسی میں حصّہ نہ ڈالیں | उदासीनता में लिप्त न हों,24K views,24K views,6:59,
How to Get Rich | رزق بڑھانے کا آسان ترین نسخہ | अमीर कैसे बनें,99K views,99K views,4:14,
How to Overcome Career Fatigue | کیریئر میں پھنس گئے ہیں | करियर में फंसे हुए हैं,22K views,22K views,8:07,
How to Grow | آگے بڑھنے کے لئے کیا کریں؟ |आगे बढ़ने के लिए क्या करें,19K views,19K views,4:03,
Big Talk on YouTube | یوٹیوب پر بڑی بڑی باتیں | यूट्यूब पर बड़ी बातें,15K views,15K views,6:14,
Hunger | بھوک | भूख,14K views,14K views,5:57,
Fraudistan Part 2 | فراڈستان پارٹ ٢ | धोखाधड़ी,15K views,15K views,6:58,
Fake Profiles | فیک پروفائل  | नकली प्रोफाइल,9K views,9K views,5:10,
In Memory of Jafar Abbas | جعفر عبّاس صاحب کی یاد میں,6.9K views,6.9K views,9:13,
Hiccup | ہچکی  | हिचकी,16K views,16K views,7:27,
What Not to Do in New Year? | نئے سال میں کیا نہ کریں؟ | नए साल में क्या न करें?,19K views,19K views,6:12,https://i.ytimg.com/vi/wKnrJKKu1HA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGQFDt5x37UJH79uKoDSIlDGgrcQ
My Audience's Problems | میری آڈینس کے مسائل | मेरे दर्शकों की समस्या,12K views,12K views,6:45,https://i.ytimg.com/vi/XO9Rk1EyLsM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsn3dqgLlGUgwaBAS-NFIQIguIZw
What to do in New Year? | نئے سال میں کیا کریں؟ | नए साल में क्या करें,61K views,61K views,10:05,https://i.ytimg.com/vi/T1mRSswHybY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8zOut6btgDPnmvyubvQiFq_RqYg
Meeting with Bilawal Bhutto Zardari | بلاول بھٹو زرداری سے ملاقات | बिलावल भुट्टो से मुलाकात,28K views,28K views,13:02,https://i.ytimg.com/vi/N2jf3mcs-iQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqdYvSdktJZMQuG6X_c1JtIyZnzQ
Year 2022 - What Happened? | سال 2022 کیا کھویا کیا پایا ؟,20K views,20K views,7:23,https://i.ytimg.com/vi/5d3VVt8eEk8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAzUfYyJIUqjZvIZjnSR5eam-FaA
Hire To Insult | گالیوں کا اسٹارٹ اپ | Zeeshan Usmani,17K views,17K views,14:06,https://i.ytimg.com/vi/UggufB7-EAQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAA7MsajhKYozXmHeQsF8-wWG0pxw
How To Get Confidence | زندگی میں کنفڈینس کیسے لائیں؟ | Zeeshan Usmani,13K views,13K views,4:51,
How to Earn 1 Crore | ایک کروڑ کیسے کمائیں؟ | मिलियन कैसे कमाए,199K views,199K views,8:00,
Karachi International Book Fair | کراچی انٹرنیشنل بک فیئر | Khi Exp | Zeeshan Usmani,4.9K views,4.9K views,4:06,
4 Minutes 13 Seconds | ٤ منٹ ١٣ سیکنڈ,24K views,24K views,5:46,
Pakistan or Abroad? | پاکستان میں رہیں یا باہر چلے جائیں,30K views,30K views,3:32,
Food Business | Best Idea! | زرعی اجناس کا کاروبار | Zeeshan Usmani,10K views,10K views,6:34,
Self Sustainability | خود کفیل,15K views,15K views,5:58,
Speed of Justice | انصاف کی رفتار,5.5K views,5.5K views,4:54,
Aqeedat aur Career | عقیدت اور کیریئر,9.7K views,9.7K views,4:30,
Only Talk | باتوں کے سوداگر,17K views,17K views,7:43,
Formula to Become Millionaire | ملینیر بننے کا فارمولا,42K views,42K views,3:47,
Importance of Mentoring | منٹورنگ کی اہمیت,8K views,8K views,7:44,
Benefits of Your Own Company | کمپنی کھولنے کے فائدے,49K views,49K views,6:42,
New Continent | نیا براعظم,9.5K views,9.5K views,5:21,
Curriculum to Become Wali Ullah |Wilayat Ka Nisab | ولایت کا نصاب,12K views,12K views,7:40,
Unique Way to Focus | فوکس کا انوکھا طریقہ,45K views,45K views,8:40,
Post Dated Love | پکّی عمر کا عشق,168K views,168K views,6:59,
Do Not Use My Content | میرا کونٹینٹ استعمال نہ کریں,29K views,29K views,8:00,
Take Care of Your Parents | والدین کا خیال رکھیں,12K views,12K views,6:57,
The Wise | خاموش لوگ,265K views,265K views,5:08,
Doglapan | دوغلا پن | Zeeshan Usmani,24K views,24K views,8:45,
Types Of Good Mentor | اچھے مینٹور کی خصوصیات | Zeeshan Usmani,7.7K views,7.7K views,5:06,
Kon Sey Dost Chordain? | A Message For Youth | Zeeshan Usmani,46K views,46K views,6:11,
Go Global | Register Your Company Globally | Zeeshan Usmani,16K views,16K views,5:20,
Curse of Questions | سوال گزیدہ | Zeeshan Usmani,7.9K views,7.9K views,7:00,https://i.ytimg.com/vi/GwqWF733Sx4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC03OTiGsXXn3fK5m2J0afeMmK_ng
Kon Ci Field Sey Paisy Kamana Asaan Hai? | Which Field Should I Choose? | Zeeshan Usmani,96K views,96K views,5:47,https://i.ytimg.com/vi/3kwc-IZXiWg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAorJ4WfhtvBu5e_dhQzCzwxbu44A
Keep Doing What You’re Doing | Apna Kaam Jari Rakhen,12K views,12K views,3:50,https://i.ytimg.com/vi/nkp-OFFb1uc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVK19UxUQHvK3KBHQWmhdCQzwFIA
Children's Passion and Career Selection | Bachon Ka Shoq Aur Career Ka Intikhab,9K views,9K views,5:37,https://i.ytimg.com/vi/jdYuQxUNXkw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDq4IiCNFTAHz2tzw0h_KvEzMvTkA
I Have Decided | Me Ne Faisla Ker Lia Hai,15K views,15K views,3:55,https://i.ytimg.com/vi/qr3Pa5R79-Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9B6Mlbd5bgUDrBwUohcMxRGDMRg
What to do After Intermediate | Intermediate Ke Baad Kya Kare?,22K views,22K views,7:47,https://i.ytimg.com/vi/4VRpamV3h3k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQRS1CytIL1YoA9NLkAcLpuhTr7A
Something Is Missing | Kuch Kami Reh Gai Hay,17K views,17K views,10:07,
End Well - جوتا نہ ماریں | Zeeshan Usmani,12K views,12K views,4:21,
Take Care of Your Thoughts | اپنے ذہن کا خیال رکھیں,36K views,36K views,5:37,
Speak Respectfully | زبان صاف رکھیں,18K views,18K views,4:03,
Get Things Done | آلو لے کر آئیں  | आलू लाओ,20K views,20K views,5:18,
Invest to Move Forward | آگے بڑھنے کے لئے انویسٹمنٹ کریں,29K views,29K views,5:14,
Podcast With Masud Qazi | مسعود قاضی صاحب کے ساتھ انٹرویو | Zeeshan Usmani,8.5K views,8.5K views,42:07,
Jahan Ja Rahe Hain | جہاں جا رہے ہیں | Abdullah Ki Kahani,12K views,12K views,4:27,
Animal Farm Aur Nishtar Hospital | اینیمل فارم اور نشتر ہسپتال,12K views,12K views,6:17,
Audio Leaks | Podcast with Shahmeer Amer,8.1K views,8.1K views,17:41,
Audio Leaks | آڈیو لیکس,19K views,19K views,11:04,
Inna lillahi wa inna ilayhi raji'un | إِنَّا ِلِلَّٰهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ,32K views,32K views,7:16,
SUSI Scholarship For Undergraduates,11K views,11K views,4:29,
Fighting Husband & Wife | میاں بیوی کے جھگڑے  | पति-पत्नी का झगड़ा,15K views,15K views,6:20,
"Amma YouTube, Abba TikTok | امّاں یو ٹیوب، ابّا ٹک ٹاک | माँ YouTube, पिताजी टिक टोक",16K views,16K views,5:42,
Why Father is Angry | باپ کو غصّہ کیوں آتا ہے | पापा को गुस्सा क्यों आता है?,14K views,14K views,7:13,
Keeping to Yourself | سب کچھ دل کے اندر | सब दिल के भीतर,22K views,22K views,6:15,
Bumpy Ride | جلیبی | जलेबी,13K views,13K views,5:50,
How to Earn Money from Your Home | گھر سے پیسہ کمائیں | घर बैठे पैसे कमाएं,50K views,50K views,8:23,
Reality of Selling on Amazon | ایمازون بزنس کی اصل حقیقت | Amazon Business की असली हकीकत,119K views,119K views,19:01,
Types of Leadership | لیڈرشپ کی قسمیں,8.5K views,8.5K views,3:51,
Free Education | فری ایجوکیشن,27K views,27K views,5:30,
Apathy | بے حسی,18K views,18K views,7:32,
After the Flood | سیلاب کے بعد,5.1K views,5.1K views,3:38,
Stuck in Career | کیریئر میں پھنس گیا ہوں,22K views,22K views,8:17,https://i.ytimg.com/vi/5fImwAoQD0A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABrsG63k4z6RuZ97nc2Q0vHLfeYg
Pick Your Side | سائیڈ چن لیں,14K views,14K views,3:50,https://i.ytimg.com/vi/_qLTGoBsqXk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRtgkf3p8bINXvszfIsH8OeHLEAg
Break from News | نیوز سے بریک,8.1K views,8.1K views,3:02,https://i.ytimg.com/vi/9rqoY7cB8sc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB34l8f8DxcfQD2NNI-YXmowbAnEQ
Make Your List | فہرست بنائیں,30K views,30K views,5:40,https://i.ytimg.com/vi/bZmSYFAo0Dg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpnDknnRO6UShPQETQmcOyLFuPCw
Your Truth | آپکا سچ,12K views,12K views,3:13,https://i.ytimg.com/vi/5CxWSAzvtwQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwPFZhv2n5t4mFrEkQEEGiqryDXw
How to Pray? | دعا کیسے مانگیں؟,38K views,38K views,16:19,https://i.ytimg.com/vi/Zl8_E52k3Ks/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5fC5yBVTOl6qcCDp9aAq5wN_Iqg
"Past, Present & Future | ماضی، حال اور مستقبل",18K views,18K views,7:49,
NAFAC - Naval Academy Foreign Affairs Conference,6.9K views,6.9K views,3:21,
SCUSA - Student Conference on US Affairs,6.7K views,6.7K views,3:12,
National Security Workshop (NSW) - نیشنل سیکورٹی ورکشاپ,9.8K views,9.8K views,6:23,
Which Questions To Ask? |  کون سے سوالات | कौन सा प्रश्न पूछना है,9.7K views,9.7K views,5:38,
Take Care of Your Parents | ماں باپ کا خیال رکھیں | अपने माता-पिता का ख्याल रखना,20K views,20K views,8:35,
Only For Girls | لڑکیوں کے لئیے | केवल लड़कियों के लिए,68K views,68K views,12:12,
Zeeshan Usmani Shorts | یو ٹیوب شارٹس چینل,12K views,12K views,2:33,
Career Counseling Road Blocks | کیریئر کونسلنگ روڈ بلاکس,13K views,13K views,6:38,
Four Things to Do Daily | روزانہ کرنے کے چار کام,55K views,55K views,6:57,
Faith is in Danger | ایمان خطرے میں ہے!,14K views,14K views,6:03,
What to do in Breakup? | محبّت چھوڑ جاۓ تو,32K views,32K views,9:24,
Loneliness | تنہائی  | अकेलापन,32K views,32K views,7:21,
Religion is a Personal Matter | دین ذاتی معاملہ ہے,18K views,18K views,7:00,
Eisenhower Fellowship | آئزن ہاور فیلو شپ,11K views,11K views,3:29,
Mental Torture | فکری زیادتی | बौद्धिक शोषण,25K views,25K views,6:34,
Career Counseling - کیریئر کونسلنگ,46K views,46K views,15:36,
Lying | جھوٹ,19K views,19K views,5:49,
UGrad Scholarship | انڈرگریڈ اسکالر شپ,14K views,14K views,2:25,
Skills Meshup | سکلز کا فالودہ,27K views,27K views,4:07,
Why Floods Are Coming? | سیلاب کیوں آرہے ہیں؟ | बाढ़ क्यों आती है?,76K views,76K views,9:11,
All the Ways You Can go to America | امریکہ جانے کے سارے راستے | अमेरिका जाने के सभी रास्ते,92K views,92K views,25:49,
Long Distance Relationship | طویل فاصلاتی رشتے  | दूर के रिश्ते,26K views,26K views,6:54,
Niagara Falls | دل نشیں آبشاریں  | Zeeshan Usmani,12K views,12K views,8:44,
Diversity as a career tool,13K views,13K views,6:07,https://i.ytimg.com/vi/_dPWcQaCjI4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBWTfmaaHp2Sj4DtEJLLKoC-7pXg
Fraudistan Part 1 - فراڈستان پارٹ 1 | Zeeshan Usmani,102K views,102K views,8:34,https://i.ytimg.com/vi/ATvluv2Cmns/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD04yqJNEPv85QrNJJo7oB58_Wecw
Deer in Backyard | ہرن سے ملاقات,11K views,11K views,3:37,https://i.ytimg.com/vi/J8QzHRlky30/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCP2C_tTwU5_lBGP5Hpcz7a8Rg70w
Flood Situation | سیلاب کی صورت حال,10K views,10K views,5:40,https://i.ytimg.com/vi/D_kD-5cj4IQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSnDLXIoLCbvNvcU3AEiEBe4JwfQ
Refuge | پناہ,18K views,18K views,12:24,https://i.ytimg.com/vi/KkMDQDKRQ5o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA33SY_HksX5KGsjmnsWrvJz1js8w
Apne Aap Se Naraz Hojaien | اپنے آپ سے ناراض ہوجائیں,58K views,58K views,10:13,https://i.ytimg.com/vi/9ofBUYFA8ao/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpX2eYpwsZW3-_ewQPu-CsEwp_Dw
Economic Reality | معاشی حقیقت,20K views,20K views,6:13,
When Salary is Not Enough | تنخواہ پوری نہیں پڑتی,31K views,31K views,5:26,
Getting Insulted | جب کوئی ذلیل کرے,135K views,135K views,10:08,
Why Me? | میں ہی کیوں؟,23K views,23K views,5:57,
Qari - Teach Quran Online | آن لائن قرآن پڑھائیں - قاری حضرات کا اپنا پلیٹ فارم,66K views,66K views,6:32,
Pakistan Independence Day | یوم آزادی مبارک,9.3K views,9.3K views,4:23,
Make Money from Digital Marketing | ڈیجیٹل مارکیٹنگ سے پیسا کمائیں,35K views,35K views,3:16,
Savings | بچت,105K views,105K views,9:28,
Don't Talk Like This | ایسا نہیں بولتے | अस्सा नी बुलट,25K views,25K views,7:33,
